review_body,class
Ajusta muy bien pero el protector de goma se deshace con el tiempo y te ensucia el maletero.,0
"Ajustan perfectas , lastima los cantos que no están redondeados , aun así aconsejó su compra",1
"Al cabo de un par de meses de uso se han acabado descosiendo los ganchos del valle, quedando el mosquetón por un sitio y la tela negra por otro. Los he usado de dos en dos y me ha pasado lo mismo con los cuatro. No lo recomiendo porque la calidad del velcro y de cómo está cosido me parece bastante mala",0
"Al desmontarla para limpiarla, me encontré restos de pintura de la misma pistola... estuve un buen rato para dejarla bien... sobre el uso hasta ahora bien",0
"Al final apareció el paquete,se equivocó de casa.el producto es bueno de momento,no de ha despegado",1
"Al final va a acabar olvidado en un cajon, lo mismo la pagina que te facilitan solo descarga virus, que cuando consigues descargar el archivo para instalarlo, son todo problemas",0
Al ir a introducirlo se me partió y como no sé si ha sido cosa mia he vuelto a pedir otro,1
Al leer los comentarios tenía dudas por si no coincidían bien todo lo contrario tienen la misma medida el problema que no tiene grapas yo lo que hice fue quitar las grapas y guardarlas en la misma posición de las que estaban y con un poco de paciencia se las fui colocando quedó perfecto,1
Al meterme en seguimiento me pone entregado y aun no me ha llegado,0
Al parecer solo dejan opinar si opinas bien del producto. El producto en si llego bien ningun problema y demomento cumple su funcion. Pero el transporte fue lo peor,0
"Al principio bien, pero se ha descosido una parte con el tiempo y resbala segun el suelo que pisas (garajes)... por lo que se tiene que ir con cuidado si se manipula montado en la moto con esto puesto para evitar caidas tontas en parado.",0
"Al principio funcionó bien y estábamos muy contentos, pequeñito, fácil de manejar, con melodías...hasta que dejo de funcionar con conectores de carga.",0
Al principio funcionó perfectamente pero al paso del verano aparecieron grietas en la goma alrededor de los muelles y empezó a fugar. Basura.,0
"Al principio parecía que sí, en los primeros usos me quitó la caspa y me dejaba el pelo con sensación de frescor. Pero después de 3 semanas de uso regular... vuelta a la caspa y los picores. Probaré con más productos. Me alegro de que haya gente que le funcione, pero no es mi caso.",0
"Al principio, tuve muchas dudas de si comprarla o no, por la sensación de agobio que da, pero nuestro niño va en la gloria y creo que le gusta incluso más que la Jane Gravity que llevamos en el otro coche.",1
Al sacar la bombilla por segunda vez se rompió la cerámica en uno de ellos. .. No aguantan nada.,0
Al ser de plástico no se queda el dibujo en el estampador,0
Al ser portátil debería traer su propia bolsa.,1
Al ser una sola pieza se abren los botones de la entrepierna a la que coges el Niño.,0
"Al tacto ya se ve que es un artículo de calidad. Me alegro de haber pagado muy poco más, merece la pena.",1
"Al tener el cierre justo en el medio, cuando lo aprieto para usarlo siempre se abre y entra aire. No cumple su funcion.",0
Al tener las patillas de madera no es posible ajustarlas debidamente. La unidad que me llegó tenía una patilla más alta que otra y no se pudo arreglar,1
"Al tener unas pestañas en el interior reducen el diámetro del tubo, por lo que no han sido válidos para mi volkswagen CC. Además no eran nuevos.",0
Alarma economica que cumple su funcion. Tuve un problema y me la abonaron. Fallaba el sensor de impacto y no la pude montar del todo,1
Alfombra para limpiar las brochas muy pequeña pensé que era más grande,0
"Algo chico el plug y si se lubrica bien, cuesta que no se salga. Aún así, cómodo para jugar y por un precio muy razonable.",1
"Algo fino, lo esperaba más acolchado.",0
Algo justo de medida pero muy práctico,1
"Algo más pequeños de lo q esperaba, pero por lo demás genial, se corresponden con la descripción. Llegaron antes de fecha estimada.",1
Algo parece que sí se nota en cuanto a mejora en la iluminación (por eso las valoro con 5 estrellas) El tiempo dirá lo que duran.,1
"Algo pequeño pero bien por el pecio, aceptable",1
"Algo se nota, disimula un poco el golpe en el cristal, pero no es lo que esperaba. No merece la pena",0
Alguien me puede decir cómo se cambian los cabezales???solo he leído una opinión de una Compradora Laura pero no sé hacerlo,0
"Algunas cosas si son útiles, otras sirven de juguete",0
"Alumbra bastante pero no los puedo sujetar , necesita accesorios que no vienen y hay que gastar 10€ más",0
"Alumbra bien, pero me ha durado 1 semana",0
"Alumbran bien, pero da fallo en el cuadro en mi caso en un Audi A1 las puse como antinieblas delanteras, que pena!!",0
"Alumbran mucho y eso esta bien, pero al poco empezo a fallarme una de ellas, asi que las quite y puse las de casa",0
Alumbran muy bien pero solo han durado 6 meses.,0
Alumbran muy bien. Pero se quedan levemente encendidas.,1
Alumbran un montón son super potentes no tienen punto de comparación con los que llevaba antes son geniales aunque el balastro lo encuentro un poco grande para ser solo un convertidor,1
Amazon logistic son unos auténticos incompetentes . Después de estar un sábado entero esperándolos . No aparecen . Después me dicen k el enseres me lo traen sin falta . Y más tarde me hacen la devolución . No sé qué pasó con Amazon . Pero cada día peor,0
"Ami niño le encanta, solo le faltaría la vibración",1
Amplio y cumple todas las caracteristicas,1
Analógico. Respuesta lenta.,1
"Anti goteo y resistente a los golpes pero con el tiempo deja de ser estanco y si está tumbado se sale un poco, No es mucho pero lo suficiente como para que si la niña lo lleva tumbado en la mochila se le mojan las cosas",1
Anular devolución !!! Producto correcto a falta de instalar. Rectifico mi opinión sobre el provedor.,1
"Aparato sencillo, funcional.",1
"Aparentemente de calidad, pero. Ya se han roto los soportes de los tornillos, que une la. Carcasa interior a la exterior, y llevo con el 2 meses, y no lo uso a diario pues tengo dos cascos más.... No estoy contento con el producto!!!",1
Aparentemente es mucho mejor que otros por el espejo que otros es plástico malo y no se ve bien. Pero no puedo dar más valoración ya que aún no lo he utilizado.,1
Apenas huele por muchas gotas que eches Casi ni se nota. Es el peor que he probado. Una pena por que tenia grandes expectativas,0
Arranca mi moto de primera. Imprescindible si tienes moto o coche y lo coges poco,1
Artículo de calidad queda genial puesto. Mi modelo ninja zx6r 600 del 2008. Llego antes de lo previsto,1
Artículo enviado erroneamente,1
Artículo usado bienes arañado y con pelos.,0
"Asi me lo han entregado y encima ni a mi, a la chica del local de al lado...un trato nefasto por parte de los repartidores, menos mal que no era nada frágil que se pudiera partir....",0
"Aspirador muy cómodo y práctico. Muy útil para el coche, sofá y pequeñas suciedades, que te evita usar un aspirador mayor. Contiene 3 accesorios para poder limpiar cualquier rincón. Sorprende su alta autonomía y su facilidad para limpiar el filtro, que es de tela y no hay que sustituirlo cada vez. Recomiendo su compra.",1
Aun a fecha de hoy no me ha llegado.haber si llega pk por lo que veo esta viendo problea a canarias,0
"Aun no lo he recibido,debería haber llegado hace tres días asi tengo Prime.Asi que no puedo valorar nada mas que el pésimo envió.",0
Aun no me ha llegado,0
Aun no me ha llegado ya ha pasado mas de un mes,0
"Aun no me llegaron, desde que hace un mes que las pedi y ahora me dicen que aun tardaran un poco mas. Puede ser culpa de aduanas pero tenian que dar mas información. Ahora tengo que mirar de comprar otras porque las queria para hacer un regalo.",0
"Aunque al final me lo he pensado mucho, voy a quedármelo y no devolverlo, pero le veo el defecto de las instrucciones sólo en inglés , el chorro de jabón que sale es muy flojo y suave, esperaba saliera con más fuerza y presión. Vale para enjabonar el coche y poco más, pesa lleno bastante ,..., en fin. Me lo he quedado, pero aporta menos de lo que esperaba.",1
"Aunque el plato es algo más pequeño de lo esperado (las dimensiones indicadas en la descripción son correctas, simplemente no me fijé en el momento de la compra), cumple perfectamente su función además de ser muy bonito. Se pega totalmente a la mesa (mesa de cristal), es muy bonito (igual que en la foto), muy práctico y la silicona parece de buena calidad. Una compra acertada y una buena idea para futuros regalos.",1
"Aunque el precio en principio parecía más que correcto para la cantidad de cosas que incluye el pack, la calidad me ha parecido muy justita en comparación con las fotos y las opiniones que había leído sobre el producto. A su favor, es para un regalo, y son muchas cosas diferentes con motivos de unicornios, y sería raro que no le gustara a una fan de los unicornios, si dejamos el tema de la calidad y la durabilidad aparte.",1
"Aunque el producto y su precinto exterior se encontraba en perfecto estado, había un producto interior con la caja rota. La verdad es que si fuera para mí no le daría importancia, pero este tipo de productos son especialmente para regalar y por este motivo no queda muy bien regalar algo roto.",0
Aunque en la descripción y en las fotos dicen te traen color amarillo en la realidad no lo he recibido con dicho color. Tenía mucho interés precisamente en el color amarillo y parecen mandarlo al azar.,0
"Aunque en la foto aparecen calcetines y muñequeras, el envío sólo incluye los calcetines. La descripción es un poco confusa. Aún así siguen siendo originales y asequibles, así que me los quedaré.",1
"Aunque en principio no cobran los gastos de envio, he revisado el producto y aparecen unos gastos extraños. Además, el producto no ofrece una gran calidad. Por un bajo precio es aceptable, pero yo no lo recomiendo",0
"Aunque era mi talla me quedaba muy justo por arriba y el largo no me acababa de gustar, así que lo devolví",0
"Aunque es un espejo pequeñito, se ve muy bien la parte de atrás y no me molesta nada para conducir",1
"Aunque especifica en la caja que sirve para un megane IV Sport Tourer, la moldura no encaja bien, siendo imposible instalarla",0
"Aunque he tenido problemas para utilizar los ganchos, sin usar los agarres con tornillos que vienen, he podido utilizarlo sin problemas.",1
"Aunque no lo llegue a colocar el faro en si era de calidad y de la misma marca que el original y además incluía la bombilla, a menos de la mitad del precio de la vw,recomendable 100%.",1
"Aunque parece que tiene un buen adhesivo, por si acaso le puse pegamento para pegarlo a las paredes. Al ser flexible se adaptó bien a la columna redonda. Como no es muy grueso, en la pared del fondo puse una capa encima de otra.",1
"Aunque puse mi modelo de coche,y según la descripción era compatible con mi modelo,cuando llegó era más largo y no pude montarlo.",0
"Aunque recibido a tiempo y aún sin poder probarlo, el producto es mucho más pequeño de lo que imaginaba. Al leer bien la composición si contiene alcohol, glicerina y silicona.",0
"Aunque te deja el cabello sedoso, por lo menos a mi, me ha caído caspa con este champú, y la caída sigue igual o peor.",0
"Aunque tenía algún fallo, en general está muy bien y queda muy divertido",1
AÚN NO HE RECIBIDO LOS PRODUCTOS,0
Aísla bien pero el pegamento no muy bueno he probado otros que pegan mucho más Pero también valen el doble.,1
"Aún en la posición 1 me hacía un daño horroroso. Imposible de usar. Y eso que era mi segundo embarazo, y en el primero use sacaleches medela meses. Tuve que usar medela en este también.",0
Aún no e recibido mi paquete muy desilusionada.. no volveré a comprar más si no se soluciona.,0
"Aún no ha llegado, una semana ya de la fecha máxima de entrega. Además no contestan a mis mensajes. Muy mala experiencia. Espero que se pongan en contacto conmigo lo antes posible",0
Aún no las he montado pero se ven de muy buena calidad,1
Aún no lo he montado pero se ve buen producto,1
"Aún no lo he probado, pero al abrir el paquete he visto que venía con enchufe británico. El vendedor le ha puesto un adaptador para solucionarlo, pero deberían informar previamente.",0
Aún no lo he recibido y tenía que llegar el día 4 de enero. Muy descontenta. Me han fastidiado el regalo de Reyes.,0
BARATO Y CUMPLE SU FUNCIÓN PERFECTAMENTE. FÁCIL PARA LIMPIAR Y MANEJABLE. RECOMIENDO POR SU PRECIO MÁS BARATO QUE LOS DEMÁS.,1
Baja calidad pero esque para su precio es lo que se espera .,1
Baja calidad. Fragil. Se rompio en muy pocos usos,0
"Barren más o menos el adaptador que dice universal solo encaja 100% en el limpia izquierdo, el otro debería tener un gemelo simétrico no igual. De esta forma encajaría perfecto. En fin, en el alcampo me salieron mejores.",0
Bastante buen material pero no es inteligente como dice el anunciante no se conecta con el movil y la aplicacion que necesita no se puede instalar,1
"Bastante buena relación calidad/precio, creo que son prácticos y como se pueden atar, creo que se pueden usar por cualquiera",1
"Bastante flojo, artículo tipo souvenir de baja calidad",0
"Bastante inútil, no puedes fijar la silla y reclinarla porque la cinta sujeta el respaldo y no es muy práctico, debes desengancharla y quitarle tensión con lo cual queda más suelta la silla o no he sabido ponerlo correctamente ya que no incluye ningún tipo de instrucciones y la silla cybex pallas tampoco indica dónde deben fijarse las cintas. Las cybex pallas no incluyen una cinta de anclaje al respaldo del asiento como todos los isofix que he visto y pensé que esto era necesario, pero ni se parece a los anclajes que vienen incluidos con el resto de sillas de bebé con isofix así que no veo una fijación segura para la silla con estas cintas",0
"Bastante malo relación calidad precio, no hidrata, es preferible una barra de cacao",0
Bastante útil para el desmontaje de algunas grapas. Sobre todo la de los techos. Algunas de las piezas son un poco endebles pero a mi me vinieron de lujo,1
"Bata muy cómoda y agradable. Textura muy suave, y lleva una capucha para los momentos de mucho frío: ideal. Totalmente recomendable.",1
Bien acabado y ajuste perfecto,1
Bien aunque pensaba que era un poco más grande,1
Bien de precio pero son una lija.,1
"Bien de tamaño, buen material, pero la goma exterior hace que aprieten bastante",1
"Bien en general, se adapta a cualquier horquilla.",1
"Bien en plazos de entrega. Calidad ni fu ni fa. Esperaba algo más, no se.Pero cumple su función que es lo importante.",1
"Bien justo lo que me esperaba, igual que la imagen",1
Bien lo tuve puesto 5 meses y me funcionó bien lo tuve que quitar por qué se me colaron unar piedrecitas por el filtro del aire,1
Bien muy mal rematado la parte de arriba lo tienes que cojer con una brida de plastico,0
Bien no es lo que esperaba pero para la utilidad que le doy esta bien,0
"Bien para bici, aunque no creo que sea muy seguro",1
Bien para lo que valen,1
Bien para un amateur pero se empañan mucho,1
Bien si no tienes prisa en la entrega.,1
"Bien, cumple su función",1
"Bien, pero no queda perfecta",1
"Bien, y lo he usado para la cara y me está yendo muy bien",1
Bien. Mejor que otro que compre hace algún tiempo en otra web.,1
"Bomba muy buena para depósito de caravana ,manda bastante cantidad de agua",1
"Bombilla excelente pero vale 80 euros y viene así de bien el paquete, se ha salvado de ... milagro. Penoso el envoltorio.",0
"Bombillas de intermitentes de buena calidad y con un color amarillo auto como tiene que ser, no como las de baja calidad que dan un color blanquecino. Totalmente recomendables.",1
Bonita pero la calidad es muy baja,0
"Bonita pero se despega muy fácilmente.La parte de arriba(color plata brillo)es bonita pero el adhesivo(parte de abajo) tiene poco ancho pues no ocupa todo el espacio del papel protector rojo que se ve en la foto,el adhesivo está sólo en el medio,o sea,mucho menos que 1 cm.Así que se despega nada más ponerla.",0
Bonita sombrilla pero algo pequeña . El mango se queda muy corto y tenemos que levantar mucho el brazo para taparnos con el . So lo haría un poco mas grande y el mango mas largo. tal y como viene parece que es para muñecas.,0
"Bonitas, gran presentacion en caja de bambú. Buena visión , protegen de los rayos del sol. Buena compra, mejor precio",1
Bonito cinturón con mucho peso,1
Bonito detalle para regalar o simplemente para recordar a tu bebé y su nacimiento.Me ha costado moldear la pasta para las huellas pero el resultado ha sido satisfactorio.,1
"Bonito diseño, se adapta perfectamente y sienta muy bien... Rapidez en la entrega",1
Bonito disfraz y con buen acabado,1
Bonito pero de calidad cuestionable aunque por lo que vale no está mal. El tamaño no fue el adecuado pero si que es verdad que es difícil acertar con el.,1
"Bonito pero las sujeciones laterales de la visera se sueltan on facilidad, como es un casco para llevar a la niña al cole no me importa pero si no, lo hubiese devuelto. Eso sí a la niña le encanta ;)",0
Bonito pero se abre demasiado facilmente,1
Bonito pero tallaje pequeño,0
"Bonito y se adapta bien a todo: carrito, Moisés, capazo. Buena compra.",1
Bonitos calcetines a buen precio aunque de baja calidad. Se me han roto varios en la primera puesta y al lavarlos se llenan de bolas. Más vale gastar un poco más...,1
Bonitos son prácticos no fue ponerlos y me duraron 2dias una pena,0
"Bonitos y cómodos pero de baja calidad. Tiene detalles que no están bien acabados, por el precio q tienen deberían estar mejor",0
"Botiquín de buen tamaño para coche, maniobras militares, o excursiones y senderismo súper completo!! Trae de todo lo necesario, y por un precio muy económico!",1
Botones muy pequeños.,1
Botón derecho se rompe muy pronto,0
"Buen caballete, eleva la z800 perfectamente, estable , compra recomendable , muy contento con la compra y el envio muy rapido",1
"Buen diseño, buena iluminación",1
Buen dispositivo para controlar y borrar incidencias de la centralita. Perfecto para aquellos que desean tener datos de su vehículo y ahorrarse el borrado de datos en el mecánico,1
Buen estado Gracias,1
Buen material pero las puedo llevar puestas por la cantidad de ruido y golpes.,1
Buen material y larguísimas,1
"Buen pack de camisetas pero la calidad es un poco baja, alguna camiseta tiene el cuello pequeño en comparación al resto de ellas. Por lo demás lo q se puede esperar por el precio",1
"Buen precio pero la colonia estaba rancia o caducada, una pena que loas colonias no tengan fecha de consumo preferente",0
Buen precio y queda muy bien,1
"Buen precio, buena calidad. Las he instalado en el cuadro de mandos de calefacción de una PARTNER Tepee de 2014 y van bien, fácil de colocar",1
Buen producto a buen precio,1
"Buen producto aunque al día siguiente ya no olía apenas nada pero parece que cumple su función. Entrega muy rápida, antes de la fecha indicada. La única pega es el embalaje deficiente. La caja que contenía los productos llegó rota y desprecintada. Voy a volver a comprar otro y espero que venga mejor embalada.",1
Buen producto calidad - precio. Ideal para pequeños detalles. La imitación a la fibra de carbono tanto visual como al tacto es increible. Recomendable su compra 100%,1
Buen producto calidad precio,1
Buen producto cumple las espectatibas,1
Buen producto de buena calidad. El tacto es bueno. Muy buena relación calidad precio,1
"Buen producto en general. La conexión para realizar la carga de la batería y los altavoces es la misma y es delicada, hay que tener cuidado al retirar e introducir la clavija porque luego no hace buena conexión y no se oyen los altavoces, hay que apretarle levemente con el dedo pulgar para que conecte... por lo demás muy bien, buena calidad de audio.",1
Buen producto hasta el momento y bien de precio,1
Buen producto incluye corbata y camisa. A mi hijo Le queda como un guante,1
Buen producto medidas perfectas,1
"Buen producto para el precio que tiene.Gran funcionalidad, ya que me daba pereza ir a la gasolinera.Se guarda bien dado su tamaño.",1
"Buen producto para empezar a que coma solidos con la tranquilidad de que no se pueda atragantar. Al ser de silicona, mejor que los que son de tela, mas higiénico y fácil de limpiar. No se queda ningún sabor. Se puede quedar un poco coloreada y no se limpia tras usarla, pero muy contenta. Además vienen tres tipos de tamaño.",1
Buen producto pero muy pequeñas,1
Buen producto segunda vez que lo compro pero está vez no he recibido la bolsa de regalo ....así que no pedire mas .,0
Buen producto y buen precio ¡,1
Buen producto y de buena calidad. Lo pongo en la lavadora y la secadora en el programa de bebé y sale impecable,1
Buen producto y excelente relación calidad-precio. Quizás un poco finas...,1
Buen producto y muy recomendable. LLevo utilizándolos 1 mes y son muy cómodos y calentitos sobre todo en estas fechas de tanto frío,1
Buen producto y rápida entrega.,1
"Buen producto, buen material y recomiendo vendedor todo correcto",1
"Buen producto, buena calidad y precio competitivo.",1
"Buen producto, fuerte y te trae todos los elementos necesarios ( tacos y llave para apretar). Necesario para instalarlo tener broca del 16. No le doy 5 estrellas porque una de las bolitas que trae para tapar el tornillo venía defectuosa, más pequeña que las demás y se cae.",1
"Buen producto, recomiendo",1
"Buen producto, salvo por que la rampa debería de ser más larga para, al ser tan inclinada la mayoría de coches roza con el paragolpe.",1
"Buen producto,muy contento!!!",1
Buen recambio su fijacion tiene plastico en vez de ser el brazo metalico,1
"Buen tacto. La talla correcta. En la foto parece más rosa, pero es blanco y marrón",1
Buen vendedor pero no se aprecia ningun efecto del producto,0
"Buena calidad , diseño perfecto",1
Buena calidad .material de forja para toda la vida.encaja al pelo,1
Buena calidad a buen precio.,1
Buena calidad e ilumina potente.,1
Buena calidad pero demasiado pequeña,0
"Buena calidad pero los clips han llegado rotos, los he pegado como he podido y funciona correctamente.",0
Buena calidad pero no coinciden las ranuras,0
"Buena calidad pero tras el lavado, han encogido bastante....",1
Buena calidad precio,1
"Buena calidad precio, seria importante q trajera una plantilla a la hora de colocar los tornillos",1
Buena calidad y buen precio,1
Buena calidad y buen precio,1
Buena calidad y buen precio,1
Buena calidad y buen precio,1
Buena calidad y buen tacto,1
Buena calidad y buen tamaño. las recomiendo. La relación calidad precio muy buena. El tamaño va bien para un cambiador de mueble.,1
Buena calidad y comodisimos,1
Buena calidad y encima por el precio de uno te regalan otros de dedos cortos contento la verdad por el precio que tiene,1
"Buena calidad y presentación del producto, sin embargo, el bebé, si es movidito como en nuestro caso, se escurre y acaba fuera de la cuña. He probado a ponerla en el capazo y queda demasiado justa y en la cuna queda pequeña (la medida más pequeña). A mí no me ha servido para nada y el bebé tenía gases y regurgitaciones",1
"Buena calidad, algo entallada.",1
"Buena calidad, buena luz y connect and go",1
"Buena calidad, el ajuste al cordón del zapato lo perdí muy fácil..debería venir fijo.",1
"Buena calidad, para hacer la pareja mejor, el del copiloto, debería tener unos milímetros más y sería ideal para casi todos los coches",1
Buena calidad. Fue para un regalo y le gustó. Talla L es grande. Llegó rápido y bien empaquetado. Muchas gracias,1
Buena calidad. Satisfecha con la compra.,1
Buena calidad. Sin uso aun,1
"Buena compra, es tal cual lo k se ve.",1
"Buena compra, igual a los q he visto en tiendas físicas.. Volvería a comprar",1
"Buena compra, muy cómoda para los niños",1
"Buena compra. Cumple con todos los requisitos y las expectativas, excepto en una..no es impermeable! Por todo lo demás fácil de poner/quitar y fácil de limpiar.",1
"Buena compra. Los ventiladores tienen 2 potencias y hay que tener en cuenta que hacen un poco de ruido, pero te mantienen la consola ventilada aún en días de mucho calor. Recomendable!",1
"Buena comprar, descripción y foto correcto.",1
